OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV137	Indv21	0	Indv21	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv3	0	Indv3	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv11	0	Indv11	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv32	0	Indv32	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv136	0	Indv136	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv115	0	Indv115	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv161	0	Indv161	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv120	0	Indv120	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv22	0	Indv22	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv102	0	Indv102	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv25	0	Indv25	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv93	0	Indv93	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv28	0	Indv28	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv30	0	Indv30	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv33	0	Indv33	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv116	0	Indv116	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv14	0	Indv14	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv18	0	Indv18	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv68	0	Indv68	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
